, allowedP, trueP, n, [sentinel], time
24,4,4,1722,26.774,0.166072
24,4,4,2048,50.2559,0.222319
24,4,4,2435,37.1636,0.358581
24,4,4,2896,19.2577,0.422392
24,4,4,3444,28.0925,0.626938
24,4,4,4096,41.5433,0.88368
24,4,4,4870,100.905,1.19307
25,4,4,16,5.08428,5.82E-05
25,4,4,19,4.44305,5.09E-05
25,4,4,22,3.74936,6.54E-05
25,4,4,26,6.00059,0.00150449
25,4,4,32,5.12512,0.000217248
25,4,4,38,12.0709,0.000273699
25,4,4,45,6.4673,0.000357091
25,4,4,53,10.349,0.000389165
25,4,4,64,8.48267,0.000523021
25,4,4,76,0.770689,0.000684674
25,4,4,90,8.68704,0.000881823
25,4,4,107,6.6972,0.00108752
25,4,4,128,6.99139,0.00145402
25,4,4,152,15.2411,0.00214426
25,4,4,181,4.25256,0.00262451
25,4,4,215,6.5401,0.00364361
25,4,4,256,7.77228,0.00468538
25,4,4,304,7.41879,0.00627796
25,4,4,362,17.4657,0.00969492
25,4,4,430,18.7009,0.0124007
25,4,4,512,6.38456,0.0171643
25,4,4,608,21.7851,0.0225096
25,4,4,724,8.56682,0.0307218
25,4,4,861,10.009,0.0425032
25,4,4,1024,15.0743,0.0591039
25,4,4,1217,30.1267,0.0799666
25,4,4,1448,32.4621,0.10897
25,4,4,1722,26.774,0.161499
25,4,4,2048,50.2559,0.224867
25,4,4,2435,37.1636,0.36
25,4,4,2896,19.2577,0.41955
25,4,4,3444,28.0925,0.629436
25,4,4,4096,41.5433,0.867246
25,4,4,4870,100.905,1.21295
26,4,4,16,5.08428,5.09E-05
26,4,4,19,4.44305,5.30E-05
26,4,4,22,3.74936,6.80E-05
26,4,4,26,6.00059,9.24E-05
26,4,4,32,5.12512,0.0017119
26,4,4,38,12.0709,0.000292088
26,4,4,45,6.4673,0.000350676
26,4,4,53,10.349,0.000406699
26,4,4,64,8.48267,0.000493085
26,4,4,76,0.770689,0.000656449
26,4,4,90,8.68704,0.000831787
26,4,4,107,6.6972,0.00108966
26,4,4,128,6.99139,0.00143692
26,4,4,152,15.2411,0.00189622
26,4,4,181,4.25256,0.00267284
26,4,4,215,6.5401,0.00375095
26,4,4,256,7.77228,0.00467853
26,4,4,304,7.41879,0.00628951
26,4,4,362,17.4657,0.00831616
26,4,4,430,18.7009,0.0135126
26,4,4,512,6.38456,0.0162119
26,4,4,608,21.7851,0.0217924
26,4,4,724,8.56682,0.0300598
26,4,4,861,10.009,0.0423198
26,4,4,1024,15.0743,0.0575122
26,4,4,1217,30.1267,0.0785228
26,4,4,1448,32.4621,0.108027
26,4,4,1722,26.774,0.160531
26,4,4,2048,50.2559,0.224921
26,4,4,2435,37.1636,0.359418
26,4,4,2896,19.2577,0.423609
26,4,4,3444,28.0925,0.620595
26,4,4,4096,41.5433,0.863964
26,4,4,4870,100.905,1.19168
27,4,4,16,5.08428,5.86E-05
27,4,4,19,4.44305,5.09E-05
27,4,4,22,3.74936,6.80E-05
27,4,4,26,6.00059,8.90E-05
27,4,4,32,5.12512,0.0016067
27,4,4,38,12.0709,0.00030449
27,4,4,45,6.4673,0.000345972
27,4,4,53,10.349,0.000455024
27,4,4,64,8.48267,0.000505487
27,4,4,76,0.770689,0.000648751
27,4,4,90,8.68704,0.000881395
27,4,4,107,6.6972,0.00116236
27,4,4,128,6.99139,0.00151561
27,4,4,152,15.2411,0.00209166
27,4,4,181,4.25256,0.00269978
27,4,4,215,6.5401,0.00361795
27,4,4,256,7.77228,0.00466742
27,4,4,304,7.41879,0.00666071
27,4,4,362,17.4657,0.00832642
27,4,4,430,18.7009,0.0127398
27,4,4,512,6.38456,0.0162919
27,4,4,608,21.7851,0.0232054
27,4,4,724,8.56682,0.0293653
27,4,4,861,10.009,0.0422595
27,4,4,1024,15.0743,0.058382
27,4,4,1217,30.1267,0.0793277
27,4,4,1448,32.4621,0.111176
27,4,4,1722,26.774,0.151784
27,4,4,2048,50.2559,0.22201
27,4,4,2435,37.1636,0.360841
27,4,4,2896,19.2577,0.419878
27,4,4,3444,28.0925,0.58632
27,4,4,4096,41.5433,0.867918
27,4,4,4870,100.905,1.1924
28,4,4,16,5.08428,5.00E-05
28,4,4,19,4.44305,0.000112045
28,4,4,22,3.74936,6.80E-05
28,4,4,26,6.00059,9.24E-05
28,4,4,32,5.12512,0.00145189
28,4,4,38,12.0709,0.00028439
28,4,4,45,6.4673,0.000340413
28,4,4,53,10.349,0.000451603
28,4,4,64,8.48267,0.000504204
28,4,4,76,0.770689,0.000671844
28,4,4,90,8.68704,0.000866855
28,4,4,107,6.6972,0.00113157
28,4,4,128,6.99139,0.00142238
28,4,4,152,15.2411,0.00189622
28,4,4,181,4.25256,0.00252188
28,4,4,215,6.5401,0.00340712
28,4,4,256,7.77228,0.004661
28,4,4,304,7.41879,0.0061873
28,4,4,362,17.4657,0.00966883
28,4,4,430,18.7009,0.0117908
28,4,4,512,6.38456,0.0165429
28,4,4,608,21.7851,0.0219113
28,4,4,724,8.56682,0.031188
